// The `onTrigger()` function is triggered every second but with an initial delay of 3 seconds.
# To start the service, navigate to the directory that contains the
# `.bal` file and execute the `ballerina run` command below.
ballerina run task_service_timer.bal
2019-09-06 13:37:17,298 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:17,299 INFO  [ballerina/log] - 0
2019-09-06 13:37:18,288 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:18,289 INFO  [ballerina/log] - 1
2019-09-06 13:37:19,287 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:19,289 INFO  [ballerina/log] - 2
2019-09-06 13:37:20,288 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:20,289 INFO  [ballerina/log] - 3
2019-09-06 13:37:21,287 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:21,288 INFO  [ballerina/log] - 4
2019-09-06 13:37:22,287 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:22,287 INFO  [ballerina/log] - 5
2019-09-06 13:37:23,287 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:23,288 INFO  [ballerina/log] - 6
2019-09-06 13:37:24,287 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:24,287 INFO  [ballerina/log] - 7
2019-09-06 13:37:25,288 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:25,289 INFO  [ballerina/log] - 8
2019-09-06 13:37:26,285 INFO  [ballerina/log] - Cleaning up...
2019-09-06 13:37:26,286 INFO  [ballerina/log] - 9
